name,country,province,population,latitude,longitude,elevation
Baia Mare,2873,Maramureş,123738,47.67,23.58,228
Baikonur,2874,Baikonur,NULL,45.62,63.32,100
Bakersfield,2875,California,403455,35.37,-119.02,123
Baku,2876,Azerbaijan,2150800,40.4,49.88,-23
Balakovo,2877,Saratovskaya,184466,52.03,47.78,24
Balašicha,2878,Moskovskaya,520692,55.82,37.97,150
Balıkesir,2879,Balıkesir,312523,39.39,27.53,70
Balikpapan,2880,Kalimantan Timur,557579,-1.26,116.83,1
Balkanabat,2881,Balkan,87800,39.52,54.37,17
Balkhash,2882,Karaganda,71203,46.85,75,440
Ballarat,2883,Victoria,111348,-37.57,143.85,441
Bălţi,2884,Moldova,143300,47.77,27.92,59
Baltimore,2885,Maryland,585708,39.28,-76.62,10
Bamako,2886,Bamako,1810366,12.65,-8,350
Bamenda,2887,Nord-Ouest,269530,5.93,10.17,1614
Banda Aceh,2888,Aceh,223446,5.55,95.32,2
Bandar Abbas,2889,Hormozgan,526648,27.18,56.27,9
Bandar Lampung,2890,Lampung,881801,-5.45,105.27,15
Bandar Seri Begawan,2891,Brunei,266682,4.89,114.94,9
Bandırma,2892,Balıkesir,142367,40.35,27.97,20
Bandjarmasin,2893,Kalimantan Selatan,625481,-3.33,114.58,1
Bandundu,2894,Kwilu,NULL,-3.32,17.37,321
Bandung,2895,Jawa Barat,2394873,-6.92,107.6,768
Bangalore,2896,Karnataka,8443675,12.97,77.57,920
Bangkok,2897,Thailand,8305218,13.75,100.47,2
Bangui,2898,Central African Republic,812407,4.37,18.58,369
Banha,2899,Egypt,174518,30.46,31.19,19
Bani Suwayf,2900,Egypt,246395,29.07,31.08,16
Banja Luka,2901,Republika Srpska,199191,44.77,17.18,163
Banjul,2902,Gambia,31301,13.45,-16.58,5
Banská Bystrica,2903,Banskobystrický,76018,48.73,19.15,362
Banzart,2904,Tunisia,138430,37.27,9.87,NULL
Baoding,2905,Hebei,1940384,38.87,115.47,25
Baoji,2906,Shaanxi,1107702,34.35,107.38,570
Baotou,2907,Nei Mongol,2104114,40.65,109.83,1065
Baqubah,2908,Diala,279133,33.75,44.63,48
Barakaldo,2909,Euskadi,100847,43.3,-2.99,39
Baranavichy,2910,Brest,168240,53.13,26.01,193
Barbacena,2911,Minas Gerais,115568,-21.22,-43.77,1160
Barcelona,2912,Catalunya,1627559,41.38,2.18,12
Barcelona,2913,Anzoátegui,410643,10.12,-64.72,13
Bareilly,2914,Uttar Pradesh,590661,28.36,79.42,268
Bari,2915,Puglia,315933,41.13,16.87,5
Bariadi,2916,Simiyu,NULL,-2.8,33.98,NULL
Bariloche,2917,Río Negro,109305,-41.15,-71.2,893
Barinas,2918,Barinas,215452,8.63,-70.2,187
Barisal,2919,Barisal,328278,22.8,90.5,1
Barnaul,2920,Altayskiy,630877,53.33,83.75,180
Barquisimeto,2921,Lara,875788,10.06,-69.33,566
Barra Mansa,2922,Rio de Janeiro,176193,-22.54,-44.17,389
Barrancabermeja,2923,Santander,177272,7.07,-73.85,75
Barranquilla,2924,Atlántico,1205284,10.96,-74.8,18
Barreiras,2925,Bahia,123741,-12.15,-44.99,454
Barreiro,2926,Lisboa,62860,38.67,-9.07,3
Barretos,2927,São Paulo,108686,-20.56,-48.57,530
Bartin,2928,Bartın,NULL,41.63,32.34,25
Barueri,2929,São Paulo,240749,-23.51,-46.88,719
Baruta,2930,Miranda,213373,10.42,-66.87,1178
Barysaw,2931,Minsk,147381,54.23,28.5,169
Basel,2932,Basel-Stadt,173863,47.57,7.6,260
Basildon,2933,East of England,117341,51.58,0.49,NULL
Basingstoke,2934,South East England,118807,51.27,-1.09,NULL
Basse-Terre,2935,Guadeloupe,NULL,16.15,-61.8,NULL
Basseterre,2936,Saint Kitts and Nevis,11400,17.3,-62.73,15
Bata,2937,Continental,290000,1.85,9.75,5
Batajsk,2938,Rostovskaya,126988,47.17,39.73,5
Batam,2939,Kepulauan Riau,944285,1.08,104.03,NULL
Batangas,2940,Calabarzon,249453,13.75,121.05,10
Bath,2941,South West England,101557,51.38,-2.37,NULL
Batman,2942,Batman,452157,37.88,41.13,540
Batna,2943,Algeria,289504,35.55,6.17,1048
Baton Rouge,2944,Louisiana,227470,30.45,-91.13,17
Battambang,2945,Cambodia,151827,13.09,103.2,39
Batumi,2946,Georgia,152839,41.65,41.64,3
Bauchi,2947,Bauchi,415000,10.32,9.84,616
Bauru,2948,São Paulo,338184,-22.31,-49.06,537
Bayamo,2949,Granma,157027,20.38,-76.64,55
Bayamón,2950,Puerto Rico,165368,18.38,-66.16,16
Bayburt,2951,Bayburt,NULL,40.26,40.23,1550
Bayrūt,2952,Lebanon,1650000,33.89,35.51,NULL
Beaumont,2953,Texas,115282,30.08,-94.13,5
Béchar,2954,Algeria,165241,31.62,-2.22,747
Beer Sheva,2955,HaDarom,209687,31.26,34.8,260
Beijing,2956,Beijing,18960744,39.92,116.38,43.5
Beira,2957,Sofala,592090,-19.83,34.85,14
Beja,2958,Beja,NULL,38.03,-7.88,NULL
Bejaïa,2959,Algeria,176139,36.75,5.07,949
Bekasi,2960,Jawa Barat,2334871,-6.23,107,11
Békéscsaba,2961,Békés,62050,46.68,21.09,89
Belém,2962,Pará,1381475,-1.46,-48.5,10
Belfast,2963,Northern Ireland,340000,54.6,-5.93,NULL
Belford Roxo,2964,Rio de Janeiro,469332,-22.76,-43.4,38
Belgorod,2965,Belgorodskaya,339978,50.6,36.6,130
Belize City,2966,Belize,66083,17.5,-88.19,0.5
Bellinzona,2967,Ticino,NULL,46.2,9.02,238
Bello,2968,Antioquia,536400,6.33,-75.57,1310
Belmopan,2969,Belize,26906,17.25,-88.77,76
Belo Horizonte,2970,Minas Gerais,2375151,-19.92,-43.93,760
Bendigo,2971,Victoria,103575,-36.75,144.16,213
Bengbu,2972,Anhui,1077704,32.92,117.38,NULL
Benghazi,2973,Libya,630000,32.12,20.07,2
Bengkulu,2974,Bengkulu,308544,-3.8,102.26,2
Benguela,2975,Benguela,513441,-12.55,13.42,39
Beni Mellal,2976,Tadla Azilal,192676,32.34,-6.36,619
Benin,2977,Edo,1495000,6.33,5.62,80
Benxi,2978,Liaoning,808221,41.3,123.77,131
Beograd,2979,Serbia,1166763,44.82,20.47,117
Berbera,2980,Somalia,374000,10.43,45.03,3
Berdiansk,2981,Zaporizka,107928,46.75,36.79,10
Berdsk,2982,Novosibirskaya,102850,55.75,83.1,130
Berezniki,2983,Permskij,138069,59.42,56.78,130
Bérgamo,2984,Lombardia,115349,45.7,9.67,249
Bergen,2985,Hordaland,267950,60.39,5.33,5
Bergisch Gladbach,2986,Nordrhein-Westfalen,108878,51.1,7.12,100
Berkeley,2987,California,124321,37.87,-122.27,52
Berlin,2988,Berlin,3292365,52.52,13.38,34
Bern,2989,Bern,134794,46.95,7.45,542
Bertoua,2990,Est,88462,4.58,13.68,717
Besançon,2991,Bourgogne-Franche-Comté,115879,47.24,6.02,235
Betim,2992,Minas Gerais,375331,-19.97,-44.2,817
Bharatpur,2993,Nepal,369377,27.68,84.33,208
Bharuch,2994,Gujarat,NULL,21.7,72.96,15
Bhatpara,2995,Madhya Pradesh,315976,22.87,88.41,12
Bhavnagar,2996,Gujarat,402338,21.76,72.15,24
Bhilai,2997,Chhattisgarh,395360,21.21,81.38,452
Bhisho,2998,Eastern Cape,77682,-32.85,27.44,435
Bhiwandi,2999,Maharashtra,392214,19.3,73.06,24
Bhopal,3000,Madhya Pradesh,1798218,23.25,77.42,527
Bhubaneswar,3001,Odisha,411542,20.27,85.84,45
Białystok,3002,Podlaskie,294242,53.12,23.15,120
Bida,3003,Niger,330000,9.08,6.02,NULL
Biel,3004,Bern,55206,47.13,7.25,434
Bielefeld,3005,Nordrhein-Westfalen,326870,52.02,8.52,118
Bielsko-Biała,3006,Śląskie,169089,49.82,19.04,300
Bien Hoa,3007,Southeast,830829,10.95,106.82,NULL
Bijeljina,3008,Republika Srpska,114663,44.75,19.22,90
Bijsk,3009,Altayskiy,183852,52.53,85.22,180
Bikaner,3010,Rajasthan,416289,28.02,73.31,242
Bila Tserkva,3011,Kyïvska,208737,49.8,30.12,148
Bilbao,3012,Euskadi,345749,43.26,-2.92,19
Bilecik,3013,Bilecik,NULL,40.14,29.98,NULL
Billings,3014,Montana,117116,45.79,-108.54,952
Bimbo,3015,Central African Republic,348802,4.26,18.4,338
Biñan,3016,Calabarzon,333028,14.33,121.08,NULL
Binangonan,3017,Calabarzon,282474,14.45,121.19,NULL
Bingol,3018,Bingöl,128935,38.89,40.5,1151
Binjai,3019,Sumatera Utara,246154,3.6,98.48,28
Biratnagar,3020,Nepal,244750,26.45,87.28,80
Birjand,3021,South Khorasan,203636,32.87,59.2,1491
Birkenhead,3022,North West England,145208,53.39,-3.01,NULL
Birmingham,3023,West Midlands,1161258,52.48,-1.89,140
Birmingham,3024,Alabama,200733,33.65,-86.81,196
Birni-N'Konni,3025,Tahoua,149414,13.79,5.25,NULL
Birnin Kebbi,3026,Kebbi,NULL,12.45,4.2,NULL
Birobidzhan,3027,Jewish Autonomous Oblast,75413,48.8,132.93,80
Bishkek,3028,Kyrgyzstan,987600,42.87,74.61,800
Bishoftu,3029,Oromia,207400,8.75,38.98,1920
Biskra,3030,Algeria,204661,34.85,5.73,87
Bismarck,3031,North Dakota,73622,46.81,-100.78,514
Bissau,3032,Guinea-Bissau,387909,11.85,-15.57,10
Bistrita,3033,Bistriţa-Năsăud,NULL,47.13,24.5,356
Bitlis,3034,Bitlis,NULL,38.4,42.11,1500
Blackburn,3035,North West England,124900,53.74,-2.48,NULL
Blackpool,3036,North West England,148150,53.81,-3.05,5
Blagoveščensk,3037,Amurskaya,241437,50.25,127.53,130
Blantyre,3038,Malawi,800264,-15.79,35.01,1039
Blida,3039,Algeria,331779,36.47,2.82,260
Blumenau,3040,Santa Catarina,294773,-26.92,-49.07,21
Bo,3041,Sierra Leone,223075,7.96,-11.74,15
Boa Vista,3042,Roraima,277799,2.82,-60.67,76
Bobo Dioulasso,3043,Burkina Faso,904920,11.18,-4.28,445
Bobruysk,3044,Mahiljou,215092,53.15,29.23,157
Boca del Río,3045,Veracruz,126507,19.11,-96.11,16
Bocas del Toro,3046,Bocas del Toro,NULL,9.34,-82.24,NULL
Bochtar,3047,Khatlon,111800,37.84,68.78,430
Bochum,3048,Nordrhein-Westfalen,362286,51.48,7.22,100
Bodø,3049,Nordland,34479,67.28,14.4,NULL
Boende,3050,Tshuapa,NULL,-0.28,20.88,375
Bogor,3051,Jawa Barat,950334,-6.6,106.8,265
Bogotá,3052,Bogotá Distrito Especial,7387400,4.6,-74.08,2640
Bogra,3053,Rajshahi,350397,24.85,89.37,21
Boise City,3054,Idaho,235684,43.62,-116.2,832
Bojnurd,3055,North Khorasan,228931,37.48,57.33,1070
Bokaro Steel City,3056,Jharkhand,333683,23.67,86.15,210
Bolgatanga,3057,Upper East,65549,10.78,-0.85,177
Bologna,3058,Emilia-Romagna,371337,44.51,11.35,54
Bolton,3059,North West England,212271,53.58,-2.43,NULL
Bolu,3060,Bolu,184682,40.73,31.61,725
Bolzano,3061,Trentino-Alto Adige,102575,46.5,11.35,262
Boma,3062,Kongo Central,NULL,-5.85,13.05,61
Bondoukou,3063,Zanzan,88783,8.03,-2.8,343
Bonga,3064,South West,NULL,7.26,36.25,1714
